"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Argentina","Electricity - total nuclear production","2018","Kilowatt-hours, million","6453",""
"Armenia","Electricity - total nuclear production","2018","Kilowatt-hours, million","2076.079",""
"Belgium","Electricity - total nuclear production","2018","Kilowatt-hours, million","28597",""
"Brazil","Electricity - total nuclear production","2018","Kilowatt-hours, million","15674",""
"Bulgaria","Electricity - total nuclear production","2018","Kilowatt-hours, million","16125",""
"Canada","Electricity - total nuclear production","2018","Kilowatt-hours, million","100731",""
"China","Electricity - total nuclear production","2018","Kilowatt-hours, million","294359",""
"Czechia","Electricity - total nuclear production","2018","Kilowatt-hours, million","29921",""
"Finland","Electricity - total nuclear production","2018","Kilowatt-hours, million","22793",""
"France","Electricity - total nuclear production","2018","Kilowatt-hours, million","412942",""
"Germany","Electricity - total nuclear production","2018","Kilowatt-hours, million","76005",""
"Hungary","Electricity - total nuclear production","2018","Kilowatt-hours, million","15733",""
"India","Electricity - total nuclear production","2018","Kilowatt-hours, million","37813",""
"Iran (Islamic Rep. of)","Electricity - total nuclear production","2018","Kilowatt-hours, million","7514",""
"Japan","Electricity - total nuclear production","2018","Kilowatt-hours, million","64929",""
"Korea, Republic of","Electricity - total nuclear production","2018","Kilowatt-hours, million","133505",""
"Mexico","Electricity - total nuclear production","2018","Kilowatt-hours, million","13675",""
"Netherlands","Electricity - total nuclear production","2018","Kilowatt-hours, million","3515",""
"Other Asia","Electricity - total nuclear production","2018","Kilowatt-hours, million","27682",""
"Pakistan","Electricity - total nuclear production","2018","Kilowatt-hours, million","9849",""
"Romania","Electricity - total nuclear production","2018","Kilowatt-hours, million","11377",""
"Russian Federation","Electricity - total nuclear production","2018","Kilowatt-hours, million","204569.141",""
"Slovakia","Electricity - total nuclear production","2018","Kilowatt-hours, million","14843",""
"Slovenia","Electricity - total nuclear production","2018","Kilowatt-hours, million","5776",""
"South Africa","Electricity - total nuclear production","2018","Kilowatt-hours, million","11580",""
"Spain","Electricity - total nuclear production","2018","Kilowatt-hours, million","55766",""
"Sweden","Electricity - total nuclear production","2018","Kilowatt-hours, million","68549",""
"Switzerland","Electricity - total nuclear production","2018","Kilowatt-hours, million","25513",""
"Ukraine","Electricity - total nuclear production","2018","Kilowatt-hours, million","84398",""
"United Kingdom","Electricity - total nuclear production","2018","Kilowatt-hours, million","65064",""
"United States","Electricity - total nuclear production","2018","Kilowatt-hours, million","841329",""

"fnSeqID","Footnote"
"1","Estimate"
